StimulusID,,,,,,,,Word,sum.p,A12YM8XYCDEA3.p,A2C0QNEIOSKAV5.p,A3SKEW89V5S0DI.p,A70L26UXLTGLC.p,AVXEDARJC5HLU.p,Switchboard
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,well,0,0,0,0,0,0,-
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,i,0,0,0,0,0,0,0
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,mostly,0,0,0,0,0,0,0
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,listen,0.2,1,0,0,0,0,0
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,to,0.2,1,0,0,0,0,0
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,popular,0.8,1,1,0,1,1,1
s_01,sw02020,sw02020,1,-1,sw02020p,TRUE,minNumSelected=1,music,0.8,1,1,1,0,1,1
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,yes,0,0,0,0,0,0,-
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,i,0,0,0,0,0,0,-
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,did,0,0,0,0,0,0,-
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,i,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,was,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,just,0,0,0,0,0,0,1
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,about,0,0,0,0,0,0,1
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,to,0,0,0,0,0,0,-
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,write,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,a,0,0,0,0,0,0,-
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,letter,0,0,0,0,0,0,1
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,when,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,i,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,heard,0.2,0,0,0,1,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,they,0,0,0,0,0,0,0
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,canceled,1,1,1,1,1,1,1
s_02,sw02012,sw02012,1,-1,sw02012p,TRUE,minNumSelected=1,it,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,well,0,0,0,0,0,0,-
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,um,0,0,0,0,0,0,-
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,my,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,my,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,husband,0.4,0,1,0,0,1,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,is,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,right,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,now,0,0,0,0,0,0,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,teaching,1,1,1,1,1,1,0
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,an,0,0,0,0,0,0,-
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,aerobics,0.8,1,1,1,1,0,1
s_03,sw02041,sw02041,1,-1,sw02041u,TRUE,minNumSelected=1,class,0.4,0,0,0,1,1,1
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,i,0,0,0,0,0,0,0
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,do,0,0,0,0,0,0,0
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,not,0.2,1,0,0,0,0,0
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,live,0.8,1,1,1,1,0,0
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,in,0.2,1,0,0,0,0,-
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,a,0,0,0,0,0,0,-
s_04,sw02051,sw02051,1,-1,sw02051u,TRUE,minNumSelected=1,city,1,1,1,1,1,1,1
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,i,0.2,0,0,0,0,1,0
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,think,0.2,0,1,0,0,0,0
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,it,0,0,0,0,0,0,-
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,would,0,0,0,0,0,0,0
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,be,0,0,0,0,0,0,0
s_05,sw02065,sw02065,1,-1,sw02065u,TRUE,minNumSelected=1,a,0,0,0,0,0,0,-
